# Data saved by LaserCtrl
# Date: 2023-03-24 12:45:49
# Epochtime: 1679676349.5232272
# Begin config
# DAQ:
#   ai: Dev1/ai3
#   ai_ref: Dev1/ai3
#   dev: Dev1
#   timeout: 5.0
#   trig: /Dev1/PFI1
# GUI:
#   Defaults:
#     center: 1550
#     finestart: -100.0
#     finestep: 1.0
#     finestop: 100.0
#     samples_centerspan: 2000
#     samples_startstop: 100000
#     span: 1
#     speed_centerspan: 20
#     speed_startstop: 40.0
#     start: 1480
#     step_delay: 0.1
#     stop: 1550
#   overwrite_config: false
#   refresh: 0.3
# Laser:
#   kind: SantecTSL
#   rsc_name: GPIB2::9::INSTR
# LaserSettings:
#   attenuation: 0
#   fine: 0.0
#   wavelength: 1551.0
# Monitor:
#   scroll_time: 10
#   tstep: 0.05
# Save:
#   compress: false
#   dir: ..\..\..\data\CEO22_COH_v2\20230324_final_checks
#   fname: voltage_sweep_BD_1530nm_47.0V_0dBatt_med
#   loop_save: false
# Scan:
#   Finescan:
#     finestart: -99.0
#     finestep: 1.0
#     finestop: 99.0
#     step_delay: 0.1
#   Wavscan:
#     samples: 40000
#     speed: 40
#     wavstart: 1529
#     wavstop: 1531
#   epoch_time: 0.0
#   loop_delay: 0.3
#   twoway: false
#   type: wavscan
# End config
# Begin data
# Columns: wavelength PD voltage
# Units: nm V
1.529011300e+03 3.694623943e-01
1.529011350e+03 3.707507467e-01
1.529011400e+03 3.705897027e-01
1.529011450e+03 3.696234383e-01
1.529011500e+03 3.693013502e-01
1.529011550e+03 3.686571740e-01
1.529011600e+03 3.699455264e-01
1.529011650e+03 3.701065705e-01
1.529011700e+03 3.701065705e-01
1.529011750e+03 3.696234383e-01
1.529011800e+03 3.688182181e-01
1.529011850e+03 3.689792621e-01
1.529011900e+03 3.689792621e-01
1.529011950e+03 3.684961300e-01
1.529012000e+03 3.686571740e-01
1.529012050e+03 3.678519538e-01
1.529012100e+03 3.678519538e-01
1.529012150e+03 3.678519538e-01
1.529012200e+03 3.670467335e-01
1.529012250e+03 3.681740419e-01
1.529012300e+03 3.681740419e-01
1.529012350e+03 3.680129978e-01
1.529012400e+03 3.680129978e-01
1.529012450e+03 3.670467335e-01
1.529012500e+03 3.672077776e-01
1.529012550e+03 3.688182181e-01
1.529012600e+03 3.678519538e-01
1.529012650e+03 3.673688216e-01
1.529012700e+03 3.670467335e-01
1.529012750e+03 3.678519538e-01
1.529012800e+03 3.651142049e-01
1.529012850e+03 3.683350859e-01
1.529012900e+03 3.675298657e-01
1.529012950e+03 3.670467335e-01
1.529013000e+03 3.688182181e-01
1.529013050e+03 3.680129978e-01
1.529013100e+03 3.664025573e-01
1.529013150e+03 3.673688216e-01
1.529013200e+03 3.655973371e-01
1.529013250e+03 3.667246454e-01
1.529013300e+03 3.688182181e-01
1.529013350e+03 3.672077776e-01
1.529013400e+03 3.675298657e-01
1.529013450e+03 3.680129978e-01
1.529013500e+03 3.670467335e-01
1.529013550e+03 3.664025573e-01
1.529013600e+03 3.681740419e-01
1.529013650e+03 3.672077776e-01
1.529013700e+03 3.665636014e-01
1.529013750e+03 3.683350859e-01
1.529013800e+03 3.681740419e-01
1.529013850e+03 3.678519538e-01
1.529013900e+03 3.678519538e-01
1.529013950e+03 3.665636014e-01
1.529014000e+03 3.664025573e-01
1.529014050e+03 3.667246454e-01
1.529014100e+03 3.672077776e-01
1.529014150e+03 3.681740419e-01
1.529014200e+03 3.680129978e-01
1.529014250e+03 3.673688216e-01
1.529014300e+03 3.670467335e-01
1.529014350e+03 3.675298657e-01
1.529014400e+03 3.680129978e-01
1.529014450e+03 3.680129978e-01
1.529014500e+03 3.684961300e-01
1.529014550e+03 3.691403062e-01
1.529014600e+03 3.701065705e-01
1.529014650e+03 3.699455264e-01
1.529014700e+03 3.683350859e-01
1.529014750e+03 3.693013502e-01
1.529014800e+03 3.688182181e-01
1.529014850e+03 3.688182181e-01
1.529014900e+03 3.702676146e-01
1.529014950e+03 3.702676146e-01
1.529015000e+03 3.702676146e-01
1.529015050e+03 3.697844824e-01
1.529015100e+03 3.688182181e-01
1.529015150e+03 3.701065705e-01
1.529015200e+03 3.717170110e-01
1.529015250e+03 3.715559670e-01
1.529015300e+03 3.717170110e-01
1.529015350e+03 3.715559670e-01
1.529015400e+03 3.713949229e-01
1.529015450e+03 3.726832753e-01
1.529015500e+03 3.705897027e-01
1.529015550e+03 3.709117908e-01
1.529015600e+03 3.726832753e-01
1.529015650e+03 3.722001432e-01
1.529015700e+03 3.734884956e-01
1.529015750e+03 3.731664075e-01
1.529015800e+03 3.734884956e-01
1.529015850e+03 3.722001432e-01
1.529015900e+03 3.739716277e-01
1.529015950e+03 3.730053634e-01
1.529016000e+03 3.728443194e-01
1.529016050e+03 3.746158039e-01
1.529016100e+03 3.734884956e-01
1.529016150e+03 3.742937158e-01
1.529016200e+03 3.744547599e-01
1.529016250e+03 3.738105837e-01
1.529016300e+03 3.754210242e-01
1.529016350e+03 3.760652004e-01
1.529016400e+03 3.741326718e-01
1.529016450e+03 3.736495396e-01
1.529016500e+03 3.752599801e-01
1.529016550e+03 3.757431123e-01
1.529016600e+03 3.763872885e-01
1.529016650e+03 3.762262444e-01
1.529016700e+03 3.762262444e-01
1.529016750e+03 3.754210242e-01
1.529016800e+03 3.755820682e-01
1.529016850e+03 3.757431123e-01
1.529016900e+03 3.771925088e-01
1.529016950e+03 3.781587731e-01
1.529017000e+03 3.781587731e-01
1.529017050e+03 3.781587731e-01
1.529017100e+03 3.778366850e-01
1.529017150e+03 3.783198171e-01
1.529017200e+03 3.796081695e-01
1.529017250e+03 3.797692136e-01
1.529017300e+03 3.786419052e-01
1.529017350e+03 3.794471255e-01
1.529017400e+03 3.791250374e-01
1.529017450e+03 3.804133898e-01
1.529017500e+03 3.804133898e-01
1.529017550e+03 3.797692136e-01
1.529017600e+03 3.802523457e-01
1.529017650e+03 3.805744338e-01
1.529017700e+03 3.804133898e-01
1.529017750e+03 3.799302576e-01
1.529017800e+03 3.804133898e-01
1.529017850e+03 3.820238303e-01
1.529017900e+03 3.805744338e-01
1.529017950e+03 3.821848744e-01
1.529018000e+03 3.815406981e-01
1.529018050e+03 3.810575660e-01
1.529018100e+03 3.810575660e-01
1.529018150e+03 3.823459184e-01
1.529018200e+03 3.820238303e-01
1.529018250e+03 3.817017422e-01
1.529018300e+03 3.817017422e-01
1.529018350e+03 3.828290506e-01
1.529018400e+03 3.815406981e-01
1.529018450e+03 3.831511387e-01
1.529018500e+03 3.823459184e-01
1.529018550e+03 3.826680065e-01
1.529018600e+03 3.833121827e-01
1.529018650e+03 3.828290506e-01
1.529018700e+03 3.828290506e-01
1.529018750e+03 3.815406981e-01
1.529018800e+03 3.825069625e-01
1.529018850e+03 3.831511387e-01
1.529018900e+03 3.836342708e-01
1.529018950e+03 3.834732268e-01
1.529019000e+03 3.841174030e-01
1.529019050e+03 3.825069625e-01
1.529019100e+03 3.825069625e-01
1.529019150e+03 3.837953149e-01
1.529019200e+03 3.839563589e-01
1.529019250e+03 3.842784470e-01
1.529019300e+03 3.846005351e-01
1.529019350e+03 3.831511387e-01
1.529019400e+03 3.844394911e-01
1.529019450e+03 3.833121827e-01
1.529019500e+03 3.837953149e-01
1.529019550e+03 3.847615792e-01
1.529019600e+03 3.837953149e-01
1.529019650e+03 3.834732268e-01
1.529019700e+03 3.834732268e-01
1.529019750e+03 3.837953149e-01
1.529019800e+03 3.846005351e-01
1.529019850e+03 3.841174030e-01
1.529019900e+03 3.844394911e-01
1.529019950e+03 3.842784470e-01
1.529020001e+03 3.823459184e-01
1.529020051e+03 3.829900946e-01
1.529020101e+03 3.831511387e-01
1.529020151e+03 3.847615792e-01
1.529020201e+03 3.839563589e-01
1.529020251e+03 3.831511387e-01
1.529020301e+03 3.833121827e-01
1.529020351e+03 3.839563589e-01
1.529020401e+03 3.834732268e-01
1.529020451e+03 3.833121827e-01
1.529020501e+03 3.837953149e-01
1.529020551e+03 3.829900946e-01
1.529020601e+03 3.836342708e-01
1.529020651e+03 3.821848744e-01
1.529020701e+03 3.820238303e-01
1.529020751e+03 3.829900946e-01
1.529020801e+03 3.818627862e-01
1.529020851e+03 3.829900946e-01
1.529020901e+03 3.833121827e-01
1.529020951e+03 3.823459184e-01
1.529021001e+03 3.821848744e-01
1.529021051e+03 3.817017422e-01
1.529021101e+03 3.817017422e-01
1.529021151e+03 3.813796541e-01
1.529021201e+03 3.820238303e-01
1.529021251e+03 3.823459184e-01
1.529021301e+03 3.813796541e-01
1.529021351e+03 3.815406981e-01
1.529021401e+03 3.808965219e-01
1.529021451e+03 3.808965219e-01
1.529021501e+03 3.807354779e-01
1.529021551e+03 3.802523457e-01
1.529021601e+03 3.818627862e-01
1.529021651e+03 3.792860814e-01
1.529021701e+03 3.789639933e-01
1.529021751e+03 3.791250374e-01
1.529021801e+03 3.792860814e-01
1.529021851e+03 3.799302576e-01
1.529021901e+03 3.792860814e-01
1.529021951e+03 3.791250374e-01
1.529022001e+03 3.791250374e-01
1.529022051e+03 3.786419052e-01
1.529022101e+03 3.786419052e-01
1.529022151e+03 3.781587731e-01
1.529022201e+03 3.788029493e-01
1.529022251e+03 3.773535528e-01
1.529022301e+03 3.771925088e-01
1.529022351e+03 3.771925088e-01
1.529022401e+03 3.776756409e-01
1.529022451e+03 3.779977290e-01
1.529022501e+03 3.763872885e-01
1.529022551e+03 3.763872885e-01
1.529022601e+03 3.757431123e-01
1.529022651e+03 3.757431123e-01
1.529022701e+03 3.765483326e-01
1.529022751e+03 3.760652004e-01
1.529022801e+03 3.752599801e-01
1.529022851e+03 3.752599801e-01
1.529022901e+03 3.741326718e-01
1.529022951e+03 3.742937158e-01
1.529023001e+03 3.738105837e-01
1.529023051e+03 3.742937158e-01
1.529023101e+03 3.733274515e-01
1.529023151e+03 3.731664075e-01
1.529023201e+03 3.728443194e-01
1.529023251e+03 3.720390991e-01
1.529023301e+03 3.730053634e-01
1.529023351e+03 3.726832753e-01
1.529023401e+03 3.730053634e-01
1.529023451e+03 3.717170110e-01
1.529023501e+03 3.723611872e-01
1.529023551e+03 3.704286586e-01
1.529023601e+03 3.715559670e-01
1.529023651e+03 3.712338789e-01
1.529023701e+03 3.709117908e-01
1.529023751e+03 3.720390991e-01
1.529023801e+03 3.707507467e-01
1.529023851e+03 3.709117908e-01
1.529023901e+03 3.696234383e-01
1.529023951e+03 3.702676146e-01
1.529024001e+03 3.697844824e-01
1.529024051e+03 3.689792621e-01
1.529024101e+03 3.702676146e-01
1.529024151e+03 3.712338789e-01
1.529024201e+03 3.696234383e-01
1.529024251e+03 3.693013502e-01
1.529024301e+03 3.684961300e-01
1.529024351e+03 3.667246454e-01
1.529024401e+03 3.680129978e-01
1.529024451e+03 3.673688216e-01
1.529024501e+03 3.678519538e-01
1.529024551e+03 3.683350859e-01
1.529024601e+03 3.667246454e-01
1.529024651e+03 3.660804692e-01
1.529024701e+03 3.668856895e-01
1.529024751e+03 3.659194252e-01
1.529024801e+03 3.668856895e-01
1.529024851e+03 3.662415133e-01
1.529024901e+03 3.659194252e-01
1.529024951e+03 3.657583811e-01
1.529025001e+03 3.659194252e-01
1.529025051e+03 3.662415133e-01
1.529025101e+03 3.649531609e-01
1.529025151e+03 3.647921168e-01
1.529025201e+03 3.655973371e-01
1.529025251e+03 3.654362930e-01
1.529025301e+03 3.659194252e-01
1.529025351e+03 3.667246454e-01
1.529025401e+03 3.659194252e-01
1.529025451e+03 3.655973371e-01
1.529025501e+03 3.635037644e-01
1.529025551e+03 3.647921168e-01
1.529025601e+03 3.651142049e-01
1.529025651e+03 3.643089847e-01
1.529025701e+03 3.649531609e-01
1.529025751e+03 3.649531609e-01
1.529025801e+03 3.654362930e-01
1.529025851e+03 3.628595882e-01
1.529025901e+03 3.641479406e-01
1.529025951e+03 3.643089847e-01
1.529026001e+03 3.638258525e-01
1.529026051e+03 3.643089847e-01
1.529026101e+03 3.643089847e-01
1.529026151e+03 3.647921168e-01
1.529026201e+03 3.638258525e-01
1.529026251e+03 3.631816763e-01
1.529026301e+03 3.647921168e-01
1.529026351e+03 3.635037644e-01
1.529026401e+03 3.631816763e-01
1.529026451e+03 3.659194252e-01
1.529026501e+03 3.641479406e-01
1.529026551e+03 3.643089847e-01
1.529026601e+03 3.641479406e-01
1.529026651e+03 3.628595882e-01
1.529026701e+03 3.633427204e-01
1.529026751e+03 3.654362930e-01
1.529026801e+03 3.644700287e-01
1.529026851e+03 3.647921168e-01
1.529026901e+03 3.644700287e-01
1.529026951e+03 3.644700287e-01
1.529027001e+03 3.649531609e-01
1.529027051e+03 3.646310728e-01
1.529027101e+03 3.654362930e-01
1.529027151e+03 3.654362930e-01
1.529027201e+03 3.651142049e-01
1.529027251e+03 3.649531609e-01
1.529027301e+03 3.644700287e-01
1.529027351e+03 3.652752490e-01
1.529027401e+03 3.646310728e-01
1.529027451e+03 3.647921168e-01
1.529027501e+03 3.655973371e-01
1.529027551e+03 3.641479406e-01
1.529027601e+03 3.657583811e-01
1.529027651e+03 3.664025573e-01
1.529027701e+03 3.652752490e-01
1.529027751e+03 3.664025573e-01
1.529027801e+03 3.664025573e-01
1.529027851e+03 3.659194252e-01
1.529027901e+03 3.644700287e-01
1.529027951e+03 3.652752490e-01
1.529028001e+03 3.665636014e-01
1.529028051e+03 3.676909097e-01
1.529028101e+03 3.665636014e-01
1.529028151e+03 3.664025573e-01
1.529028201e+03 3.646310728e-01
1.529028251e+03 3.672077776e-01
1.529028301e+03 3.667246454e-01
1.529028351e+03 3.678519538e-01
1.529028401e+03 3.681740419e-01
1.529028451e+03 3.680129978e-01
1.529028501e+03 3.673688216e-01
1.529028551e+03 3.680129978e-01
1.529028601e+03 3.676909097e-01
1.529028651e+03 3.676909097e-01
1.529028701e+03 3.694623943e-01
1.529028751e+03 3.676909097e-01
1.529028801e+03 3.705897027e-01
1.529028851e+03 3.686571740e-01
1.529028901e+03 3.691403062e-01
1.529028951e+03 3.694623943e-01
1.529029001e+03 3.707507467e-01
1.529029051e+03 3.693013502e-01
1.529029101e+03 3.702676146e-01
1.529029151e+03 3.713949229e-01
1.529029201e+03 3.707507467e-01
1.529029251e+03 3.705897027e-01
1.529029301e+03 3.709117908e-01
1.529029351e+03 3.720390991e-01
