x y potential
-0.6 -8.6 0.6496
-0.4 -8.6 0.329
-0.2 -8.6 0.1914
0 -8.6 0.3478
0.2 -8.6 0.6659
0.4 -8.6 0.8749
0.6 -8.6 0.7893
0.8 -8.6 0.4652
1 -8.6 0.1587
1.2 -8.6 0.1155
1.4 -8.6 0.3659
1.6 -8.6 0.6969
1.8 -8.6 0.826
2 -8.6 0.6358
2.2 -8.6 0.2725
2.4 -8.6 0.0271
2.6 -8.6 0.0943
2.8 -8.6 0.4116
3 -8.6 0.7097
3.2 -8.6 0.7358
3.4 -8.6 0.462
3.6 -8.6 0.108
3.8 -8.6 -0.0412
4 -8.6 0.1295
4.2 -8.6 0.4716
4.4 -8.6 0.6977
4.6 -8.6 0.6194
4.8 -8.6 0.3009
5 -8.6 0.0026
5.2 -8.6 -0.0353
5.4 -8.6 0.2105
5.6 -8.6 0.5311
5.8 -8.6 0.6618
6 -8.6 0.4997
6.2 -8.6 0.1836
6.4 -8.6 -0.0252
6.6 -8.6 0.0398
6.8 -8.6 0.3178
7 -8.6 0.5774
7.2 -8.6 0.6109
7.4 -8.6 0.4023
7.6 -8.6 0.1333
7.8 -8.6 0.0269
8 -8.6 0.1652
8.2 -8.6 0.4289
8.4 -8.6 0.604
8.6 -8.6 0.5598
8.8 -8.6 0.35
9 -8.6 0.1589
9.2 -8.6 0.1445
9.4 -8.6 0.3126
9.6 -8.6 0.5229
9.8 -8.6 0.6117
10 -8.6 0.5259
-10 -8.4 0.218
-9.8 -8.4 0.4746
-9.6 -8.4 0.6119
-9.4 -8.4 0.5324
-9.2 -8.4 0.3194
-9 -8.4 0.1583
-8.8 -8.4 0.181
-8.6 -8.4 0.3627
-8.4 -8.4 0.5536
-8.2 -8.4 0.6088
-8 -8.4 0.5041
-7.8 -8.4 0.3455
-7.6 -8.4 0.2719
-7.4 -8.4 0.3406
-7.2 -8.4 0.4898
-7 -8.4 0.6012
-6.8 -8.4 0.6011
-6.6 -8.4 0.5142
-6.4 -8.4 0.4301
-6.2 -8.4 0.4224
-6 -8.4 0.4915
-5.8 -8.4 0.5767
-5.6 -8.4 0.617
-5.4 -8.4 0.6012
-5.2 -8.4 0.5665
-5 -8.4 0.555
-4.8 -8.4 0.575
-4.6 -8.4 0.6019
-4.4 -8.4 0.6118
-4.2 -8.4 0.6093
-4 -8.4 0.6194
-3.8 -8.4 0.6541
-3.6 -8.4 0.6916
-3.4 -8.4 0.6941
-3.2 -8.4 0.6501
-3 -8.4 0.5962
-2.8 -8.4 0.5913
-2.6 -8.4 0.6601
-2.4 -8.4 0.7596
-2.2 -8.4 0.8068
-2 -8.4 0.7514
-1.8 -8.4 0.6289
-1.6 -8.4 0.5425
-1.4 -8.4 0.577
-1.2 -8.4 0.7197
-1 -8.4 0.8585
-0.8 -8.4 0.8709
-0.6 -8.4 0.732
-0.4 -8.4 0.5468
-0.2 -8.4 0.4705
0 -8.4 0.5769
0.2 -8.4 0.787
0.4 -8.4 0.9251
0.6 -8.4 0.8639
0.8 -8.4 0.6379
1 -8.4 0.4249
1.2 -8.4 0.4022
1.4 -8.4 0.5949
1.6 -8.4 0.8455
1.8 -8.4 0.9384
2 -8.4 0.7808
2.2 -8.4 0.4872
2.4 -8.4 0.292
2.6 -8.4 0.3561
2.8 -8.4 0.6275
3 -8.4 0.8776
3.2 -8.4 0.8876
3.4 -8.4 0.6328
3.6 -8.4 0.31
3.8 -8.4 0.1781
4 -8.4 0.343
4.2 -8.4 0.665
4.4 -8.4 0.8699
4.6 -8.4 0.7755
4.8 -8.4 0.4458
5 -8.4 0.1418
5.2 -8.4 0.1068
5.4 -8.4 0.3643
5.6 -8.4 0.695
5.8 -8.4 0.8169
6 -8.4 0.619
6.2 -8.4 0.2545
6.4 -8.4 0.0155
6.6 -8.4 0.0915
6.8 -8.4 0.4125
7 -8.4 0.7063
7.2 -8.4 0.7242
7.4 -8.4 0.4457
7.6 -8.4 0.0951
7.8 -8.4 -0.0452
8 -8.4 0.1324
8.2 -8.4 0.4739
8.4 -8.4 0.6928
8.6 -8.4 0.6074
8.8 -8.4 0.2885
9 -8.4 -0.0025
9.2 -8.4 -0.0314
9.4 -8.4 0.2177
9.6 -8.4 0.5336
9.8 -8.4 0.6561
10 -8.4 0.49
-10 -8.2 0.1833
-9.8 -8.2 0.5222
-9.6 -8.2 0.6934
-9.4 -8.2 0.5558
-9.2 -8.2 0.2243
-9 -8.2 -0.0295
-8.8 -8.2 -0.0024
-8.6 -8.2 0.2754
-8.4 -8.2 0.5702
-8.2 -8.2 0.6412
-8 -8.2 0.4369
-7.8 -8.2 0.1322
-7.6 -8.2 -0.0216
-7.4 -8.2 0.0964
-7.2 -8.2 0.3824
-7 -8.2 0.6007
-6.8 -8.2 0.5808
-6.6 -8.2 0.3527
-6.4 -8.2 0.114
-6.2 -8.2 0.0617
-6 -8.2 0.2329
-5.8 -8.2 0.4827
-5.6 -8.2 0.6117
-5.4 -8.2 0.53
-5.2 -8.2 0.323
-5 -8.2 0.1716
-4.8 -8.2 0.1993
-4.6 -8.2 0.3775
-4.4 -8.2 0.5596
-4.2 -8.2 0.6084
-4 -8.2 0.5058
-3.8 -8.2 0.356
-3.6 -8.2 0.2905
-3.4 -8.2 0.3597
-3.2 -8.2 0.5016
-3 -8.2 0.6041
-2.8 -8.2 0.6014
-2.6 -8.2 0.5205
-2.4 -8.2 0.4459
-2.2 -8.2 0.4429
-2 -8.2 0.5077
-1.8 -8.2 0.5834
-1.6 -8.2 0.617
-1.4 -8.2 0.603
-1.2 -8.2 0.5768
-1 -8.2 0.5732
-0.8 -8.2 0.5932
-0.6 -8.2 0.612
-0.4 -8.2 0.6126
-0.2 -8.2 0.6071
0 -8.2 0.623
0.2 -8.2 0.6668
0.4 -8.2 0.7085
0.6 -8.2 0.7064
0.8 -8.2 0.6525
1 -8.2 0.5916
1.2 -8.2 0.5881
1.4 -8.2 0.6652
1.6 -8.2 0.7721
1.8 -8.2 0.8191
2 -8.2 0.7554
2.2 -8.2 0.6235
2.4 -8.2 0.534
2.6 -8.2 0.574
2.8 -8.2 0.7254
3 -8.2 0.8682
3.2 -8.2 0.8759
3.4 -8.2 0.7272
3.6 -8.2 0.5351
3.8 -8.2 0.4602
4 -8.2 0.5747
4.2 -8.2 0.7919
4.4 -8.2 0.9296
4.6 -8.2 0.8604
4.8 -8.2 0.6253
5 -8.2 0.4095
5.2 -8.2 0.3924
5.4 -8.2 0.5937
5.6 -8.2 0.848
5.8 -8.2 0.9362
6 -8.2 0.7693
6.2 -8.2 0.4695
6.4 -8.2 0.2763
6.6 -8.2 0.3485
6.8 -8.2 0.6268
7 -8.2 0.8764
7.2 -8.2 0.8787
7.4 -8.2 0.6157
7.6 -8.2 0.2909
7.8 -8.2 0.1651
8 -8.2 0.3385
8.2 -8.2 0.6641
8.4 -8.2 0.8644
8.6 -8.2 0.7613
8.8 -8.2 0.4265
9 -8.2 0.1252
9.2 -8.2 0.0988
9.4 -8.2 0.363
9.6 -8.2 0.693
9.8 -8.2 0.8076
10 -8.2 0.6022
-10 -8 0.3791
-9.8 -8 0.7061
-9.6 -8 0.861
-9.4 -8 0.7032
-9.2 -8 0.3501
-9 -8 0.083
-8.8 -8 0.1153
-8.6 -8 0.4139
-8.4 -8 0.7252
-8.2 -8 0.7835
-8 -8 0.5316
-7.8 -8 0.1685
-7.6 -8 -0.0141
-7.4 -8 0.1266
-7.2 -8 0.467
-7 -8 0.7195
-6.8 -8 0.6709
-6.6 -8 0.3575
