NaN	-1000	-900	-800	-700	-600	-500	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200	2300	2400	2500	2600	2700	2800	2900	3000
0	7.50726562379625E-4	8.95943022359447E-4	7.67763615906885E-4	-1.04673428351081E-4	-0.00277556755181013	-9.1283177158299E-4	0.00852990396827565	-0.00737928539224326	-0.0140576733877655	0.0120661636756816	-0.00278367892948584	-0.00472017478805171	0.0170241045937024	-0.0137593585559487	-0.00399301315579217	0.0206660800711645	-0.0134553680250608	0.00503532577753958	0.00195345809377627	-0.0146875075207935	0.0197154052351771	-0.0016438257554921	-0.023150583476635	0.0233213491580638	-0.00147140976470518	-0.0123630398672849	0.0119070489633266	-0.00621950065351537	-0.00501375424991905	0.0141485430567875	-0.00604200972887665	-0.00462043042007335	0.00383812470705804	-4.07687921669912E-4	0.00412479739675218	-0.00305907155706362	-0.0065454270433152	0.0072616823192297	0.00405605083541822	-0.00823888232362689	0.00134453722549167
100	8.35934525889043E-4	7.52571676103508E-4	5.66334629360367E-5	-0.00193250597371866	-5.49081447326502E-4	0.00666995105065751	-0.00523945298488055	-0.0104869298904704	0.00892507343473695	-0.00148905021013119	-0.00386010694764764	0.012694790109771	-0.0101909887140618	-0.00330302772886159	0.0155595580112336	-0.00991896599822397	0.00366440137757695	0.00188735188780258	-0.0112206284214802	0.0143802209177388	-9.92065855782806E-4	-0.0176522809824952	0.0171140342246531	-5.41764515951677E-4	-0.00963276650991769	0.00854207750526109	-0.00452778035664333	-0.00396765056590906	0.0104472781444777	-0.00460326100807587	-0.00370938217675154	0.00264844420401622	-4.81680530298476E-4	0.00280721000828249	-0.00243729543785498	-0.00519042362004731	0.00511514259605908	0.00290969189023	-0.00638466306647121	7.16871262139607E-4	0.00258234075475354
200	2.6316454355255E-4	1.36543145909124E-5	-6.64448394178228E-4	-1.71307069566009E-4	0.00228024161033734	-0.00186680178905426	-0.0035781057201464	0.00314524016623588	-5.36495290663456E-4	-0.00130736606642338	0.00443673761999094	-0.00353181029395982	-0.00114182673651153	0.00534537795520802	-0.00349515989758523	0.00135174984310375	5.84332234413141E-4	-0.00387573821437531	0.00486668832144765	-8.42566451450833E-5	-0.00597092513459167	0.00599541120420841	-1.4038456918723E-4	-0.00335042936239602	0.00300879564397098	-0.00151370063553778	-0.00132787672297576	0.00358129306772208	-0.00162346759352504	-0.00122736168376577	9.46637113314493E-4	-1.43169461639506E-4	0.00100400814386301	-8.33347653978706E-4	-0.0017628551452205	0.00178979223433541	0.00102758341572897	-0.00219814411990875	2.96244954724797E-4	9.13638808883325E-4	-5.0379350721603E-4
300	-6.41870106534544E-6	3.13410796113976E-4	9.0077251986392E-5	-0.00106258845959158	8.41056815741055E-4	0.00165392842747836	-0.00141945737716911	1.91198305741908E-4	6.63292780788974E-4	-0.00208710710605119	0.00157877218736574	5.52440651709117E-4	-0.00253088220262489	0.0015528256264564	-6.20703049853005E-4	-2.6850242265068E-4	0.00181153617054027	-0.00223586888763638	-8.26380467414981E-5	0.00288928033258908	-0.00279051191370337	3.66054691447116E-5	0.00155443911459465	-0.00138700172363329	6.72709538140064E-4	6.65000445910816E-4	-0.00169014359673969	7.40138466273311E-4	5.70879928130748E-4	-4.44442655120429E-4	6.35608050861922E-5	-4.66943132411806E-4	3.68235104035683E-4	8.20221219497372E-4	-8.29295327646133E-4	-4.94466906958198E-4	0.0010197398069536	-1.31252826952254E-4	-4.2184369568085E-4	2.33786401911539E-4	6.73929792082753E-5
400	0.00101479639013184	2.65891091389186E-4	-0.00375782188811496	0.00285970083977905	0.00568310702778239	-0.00491452750590259	4.51129368280861E-4	0.00245441815149502	-0.00724627133734667	0.00536964257011721	0.00202820631038783	-0.00869942912493923	0.0052929753542851	-0.0019842750422245	-0.00104236228026669	0.00617983298720962	-0.00767619885076683	-5.95262801453338E-4	0.010091227479285	-0.00927707191887818	2.86639775734741E-5	0.00552353048617117	-0.00460240249766912	0.00207759361299071	0.00248301806201725	-0.00576073192578237	0.00253599984147959	0.00201927829008677	-0.00147699271990443	2.69750867365022E-4	-0.00151163440878949	0.00128640496160573	0.00293461988404775	-0.00273923009866072	-0.00161953945871624	0.00357188521178892	-3.15461617569387E-4	-0.00138492522505614	8.92262277691541E-4	3.31454269268563E-4	-0.00104616404348221
500	5.92798706046974E-4	-0.00545474064457446	0.00452695568497647	0.00891420159539194	-0.00703151086978229	7.35805496372688E-4	0.00418546630917371	-0.0111783019581882	0.00817713280212458	0.00355653651300663	-0.0131063389536656	0.00800336955237511	-0.00258368907373437	-0.00183128261972106	0.00959166709015624	-0.0113834855776946	-0.00120997675856625	0.0157939265982334	-0.0137883481563483	-7.05609126494068E-4	0.00851231370893358	-0.00711727292413764	0.00277927632223351	0.00410526922794483	-0.00898459127217909	0.00358890983873326	0.00302275326323872	-0.00239031723762522	2.23486835580856E-4	-0.00249856401421305	0.00165735837098237	0.00433757219833222	-0.00437536243687908	-0.00284711808262267	0.00514778834398907	-6.52589030733898E-4	-0.00249708844479087	9.87985692490973E-4	1.91339562639985E-4	-0.00201188810956121	0.00300867277916865
600	-0.00443461840003746	0.00374634937625962	0.00742138923705644	-0.00573143565461624	5.8792890067177E-4	0.00341197781572395	-0.00905310074581067	0.00671815446560083	0.00299981184935133	-0.0107801307385205	0.00647182916939697	-0.00204435373097649	-0.00165576859626274	0.00786819237612237	-0.00932268792647464	-9.10472084480144E-4	0.0130758769990311	-0.0110086758083808	-9.48183339308193E-4	0.0071254448674196	-0.00575812074218723	0.00226319169862217	0.0035048471233815	-0.00740796441443831	0.00292030412061684	0.00254099294173689	-0.00194646241099989	2.05589881993353E-4	-0.00203418746878982	0.00138171485539211	0.00354781837748098	-0.0035384799631409	-0.00239094372673807	0.0042199669837965	-5.42901262139291E-4	-0.00204147505089477	8.08548875603444E-4	1.7493674600993E-4	-0.00165271097524934	0.0025143619840207	-3.12856537689109E-4
700	9.71756517032851E-4	0.00191192591600813	-0.00162295977954743	4.65475596248603E-5	8.98093510672461E-4	-0.00254808192003721	0.00172509238838919	8.42216477848496E-4	-0.00295470774876263	0.00165098497485002	-5.15326655399708E-4	-5.6389158427486E-4	0.0021686433748661	-0.00247703272029099	-3.47844702868233E-4	0.00353344665499073	-0.00299386948754406	-4.2897797540562E-4	0.00198178423726351	-0.00151751503928381	5.50387739050193E-4	0.00100657662747699	-0.00201121536228293	7.41960687001943E-4	7.15596070880126E-4	-5.13034404874916E-4	6.28467303387765E-5	-5.26515231121782E-4	3.95367501971938E-4	0.00100559061553544	-9.07147782014745E-4	-6.25694564317614E-4	0.00120229298270142	-6.0666499430979E-5	-4.92434333263864E-4	2.88421353182536E-4	1.44062920955048E-4	-3.58555505117877E-4	7.79095231356061E-4	3.08510449343604E-5	-7.25504639190934E-4
800	-0.00147486915938968	0.00125083891374047	-1.19374225572724E-4	-6.74271667601109E-4	0.00189881783360354	-0.00135010451426518	-6.59048314651203E-4	0.00225643122409138	-0.00127440455315417	3.68449146205381E-4	3.78167569452049E-4	-0.00164616955727716	0.00189925345383458	2.11468185023985E-4	-0.00266995920497834	0.00231626993471554	2.41764665923218E-4	-0.00152308605839907	0.0011235286406597	-4.14067012723768E-4	-7.43585384992528E-4	0.0015406017413174	-5.7789356584807E-4	-5.67199103267345E-4	3.81286613639494E-4	-5.68249591537237E-5	4.02545105680305E-4	-3.22189871454431E-4	-7.54729555115704E-4	7.1495080475035E-4	4.66456588431554E-4	-9.08423760102568E-4	6.43693923394479E-5	3.88750945886363E-4	-2.0534967822183E-4	-8.19568768844386E-5	3.02706394313888E-4	-5.60493652198046E-4	2.57320146117998E-5	5.96359537198412E-4	-2.44454916573293E-4
900	0.00190199455623055	-4.28883940468049E-4	-0.00160506380081074	0.00312694575632988	-0.00262908678668099	-0.00147105155145889	0.003820657648951	-0.00240748037942781	3.383094680017E-4	6.28413731854443E-4	-0.0031500232052584	0.00316909893589778	4.66061767806711E-4	-0.00496989057839982	0.00394991843363835	4.07361411200088E-4	-0.00284788916568814	0.00187131247157647	-6.016344692216E-4	-0.00154995722374196	0.00271741867717461	-0.00100754536625112	-0.00105707688971388	6.79261842540168E-4	-6.70288493042678E-5	7.31219662092485E-4	-4.70637599454641E-4	-0.00130920663217217	0.00131469431628054	9.44310497097391E-4	-0.00151095033716393	1.85525711729241E-4	8.19420614457048E-4	-2.27527390482565E-4	-2.8033145376839E-5	7.01038222721193E-4	-8.37119878197944E-4	1.78599224098129E-4	0.00123761999787769	-2.35290888047762E-4	-9.2988775661106E-4
