MUV-21 as-synthesised	
2 q(deg.)	Intenisty (a. u.)
16.75027	2628
16.7634	2602
16.77653	2678
16.78966	2600
16.80279	2733
16.81592	2706
16.82905	2588
16.84218	2685
16.85531	2816
16.86845	2845
16.88158	2812
16.89471	2806
16.90784	2857
16.92097	2896
16.9341	2867
16.94723	3040
16.96036	3116
16.97349	3289
16.98662	3232
16.99975	3492
17.01288	3639
17.02601	3675
17.03914	3787
17.05227	3449
17.0654	3219
17.07853	3053
17.09166	2895
17.10479	2799
17.11792	2649
17.13105	2678
17.14418	2568
17.15731	2689
17.17044	2611
17.18357	2719
17.1967	2596
17.20983	2654
17.22296	2600
17.23609	2610
17.24922	2691
17.26235	2627
17.27548	2637
17.28861	2665
17.30174	2570
17.31487	2673
17.32801	2719
17.34114	2703
17.35427	2714
17.3674	2748
17.38053	2725
17.39366	2684
17.40679	2708
17.41992	2787
17.43305	2689
17.44618	2750
17.45931	2712
17.47244	2768
17.48557	2752
17.4987	2788
17.51183	2839
17.52496	2796
17.53809	2844
17.55122	2757
17.56435	2774
17.57748	2888
17.59061	2854
17.60374	2902
17.61687	3068
17.63	3004
17.64313	3225
17.65626	3241
17.66939	3414
17.68252	3599
17.69565	3786
17.70878	3888
17.72191	3999
17.73504	3942
17.74817	3743
17.7613	3757
17.77443	3788
17.78756	3704
17.8007	3840
17.81383	3808
17.82696	3944
17.84009	4033
17.85322	4335
17.86635	4221
17.87948	4178
17.89261	4208
17.90574	3968
17.91887	3725
17.932	3573
17.94513	3326
17.95826	3188
17.97139	3076
17.98452	2954
17.99765	2933
18.01078	2972
18.02391	2924
18.03704	2937
18.05017	3014
18.0633	3070
18.07643	3182
18.08956	3229
18.10269	3281
18.11582	3452
18.12895	3434
18.14208	3450
18.15521	3765
18.16834	3895
18.18147	3859
18.1946	3956
18.20773	3896
18.22086	3790
18.23399	3618
18.24712	3509
18.26026	3302
18.27339	3270
18.28652	3245
18.29965	3252
18.31278	3190
18.32591	3272
18.33904	3210
18.35217	3288
18.3653	3329
18.37843	3408
18.39156	3232
18.40469	3229
18.41782	3172
18.43095	3183
18.44408	3078
18.45721	3061
18.47034	3028
18.48347	2887
18.4966	2789
18.50973	2868
18.52286	2797
18.53599	2888
18.54912	2819
18.56225	2837
18.57538	2874
18.58851	2842
18.60164	2867
18.61477	2902
18.6279	2934
18.64103	2831
18.65416	2916
18.66729	3017
18.68042	2856
18.69355	2939
18.70668	2747
18.71981	2917
18.73295	2773
18.74608	2871
18.75921	2919
18.77234	2837
18.78547	2793
18.7986	2971
18.81173	2842
18.82486	2916
18.83799	2892
18.85112	2959
18.86425	3060
18.87738	3090
18.89051	3060
18.90364	3269
18.91677	3394
18.9299	3479
18.94303	3603
18.95616	3756
18.96929	4096
18.98242	4341
18.99555	4826
19.00868	4918
19.02181	4955
19.03494	4702
19.04807	4417
19.0612	4298
19.07433	4147
19.08746	3925
19.10059	3807
19.11372	3707
19.12685	3755
19.13998	3847
19.15311	3950
19.16624	4443
19.17937	4516
19.19251	4735
19.20564	5100
19.21877	5389
19.2319	5586
19.24503	5414
19.25816	5369
19.27129	5126
19.28442	4668
19.29755	4300
19.31068	4060
19.32381	3790
19.33694	3550
19.35007	3320
19.3632	3428
19.37633	3703
19.38946	3794
19.40259	3879
19.41572	3787
19.42885	3535
19.44198	3457
19.45511	3329
19.46824	3227
19.48137	2967
19.4945	3056
19.50763	2946
19.52076	2972
19.53389	2909
19.54702	2930
19.56015	2919
19.57328	3065
19.58641	2985
19.59954	3098
19.61267	3121
19.6258	3109
19.63893	3162
19.65207	3284
19.6652	3294
19.67833	3324
19.69146	3470
19.70459	3377
19.71772	3407
19.73085	3390
19.74398	3327
19.75711	3329
19.77024	3225
19.78337	3229
19.7965	3221
19.80963	3334
19.82276	3145
19.83589	3227
19.84902	3204
19.86215	3259
19.87528	3388
19.88841	3408
19.90154	3478
19.91467	3575
19.9278	3664
19.94093	3471
19.95406	3555
19.96719	3410
19.98032	3388
19.99345	3416
29.42	55.54658
29.44	46.22077
29.46	40.28265
29.48	38.6157
29.5	41.27272
29.52	48.20377
29.54	58.28032
29.56	70.20593
29.58	84.71175
29.6	96.25275
29.62	91.98525
29.64	73.71
29.66	55.17578
29.68	42.50595
29.7	35.60032
29.72	33.1872
29.74	34.5318
29.76	39.59385
29.78	48.42158
29.8	58.94963
29.82	64.64513
29.84	63.11843
29.86	62.37645
29.88	68.43353
29.9	81.87675
29.92	96.8685
29.94	105.07575
29.96	113.90025
29.98	136.78275
30	176.3715
30.02	214.194
30.04	211.27275
30.06	168.74325
30.08	124.92525
30.1	96.87975
30.12	83.6355
30.14	77.8605
30.16	73.7109
30.18	73.06215
30.2	76.96575
30.22	82.656
30.24	90.4995
30.26	98.0775
30.28	95.60775
30.3	85.8
30.32	81.246
30.34	89.001
30.36	112.72275
30.38	153.7035
30.4	201.77625
30.42	221.2245
30.44	190.542
30.46	143.7795
30.48	108.531
30.5	89.655
30.52	86.21775
30.54	96.39225
30.56	114.1395
30.58	122.68125
30.6	108.5595
30.62	85.7865
30.64	68.637
30.66	59.13915
30.68	54.26707
30.7	52.37002
30.72	54.93862
30.74	64.07445
30.76	82.8375
30.78	115.16325
30.8	162.3855
30.82	214.06875
30.84	245.9805
30.86	235.161
30.88	190.47075
30.9	148.6275
30.92	126.405
30.94	120.447
30.96	121.34925
30.98	127.8675
31	137.793
31.02	132.5475
31.04	105.96525
31.06	76.368
31.08	54.4008
31.1	40.37663
31.12	32.22892
31.14	27.96825
31.16	26.4186
31.18	26.86462
31.2	28.06665
31.22	27.72863
31.24	25.61955
31.26	24.3396
31.28	25.42545
31.3	29.34698
31.32	34.94415
31.34	38.9688
31.36	38.09625
31.38	31.92113
31.4	24.8745
31.42	19.76393
31.44	16.73363
31.46	15.32242
31.48	15.02542
31.5	15.7593
31.52	17.58713
