CH3Cl	
2 q(deg.)	Intenisty (a. u.)
17.28861	2732
17.30174	2700
17.31487	2736
17.32801	2737
17.34114	2711
17.35427	2787
17.3674	2613
17.38053	2703
17.39366	2764
17.40679	2751
17.41992	2721
17.43305	2675
17.44618	2617
17.45931	2627
17.47244	2611
17.48557	2775
17.4987	2601
17.51183	2612
17.52496	2603
17.53809	2662
17.55122	2634
17.56435	2658
17.57748	2660
17.59061	2531
17.60374	2627
17.61687	2726
17.63	2701
17.64313	2621
17.65626	2686
17.66939	2734
17.68252	2650
17.69565	2725
17.70878	2748
17.72191	2805
17.73504	2669
17.74817	2626
17.7613	2677
17.77443	2613
17.78756	2666
17.8007	2722
17.81383	2687
17.82696	2562
17.84009	2719
17.85322	2666
17.86635	2571
17.87948	2721
17.89261	2683
17.90574	2803
17.91887	2629
17.932	2647
17.94513	2639
17.95826	2864
17.97139	2748
17.98452	2784
17.99765	2924
18.01078	2836
18.02391	2859
18.03704	3043
18.05017	3075
18.0633	3091
18.07643	3145
18.08956	3213
18.10269	3312
18.11582	3254
18.12895	3242
18.14208	3157
18.15521	3197
18.16834	3158
18.18147	3140
18.1946	3177
18.20773	3194
18.22086	3080
18.23399	2922
18.24712	2973
18.26026	2839
18.27339	2986
18.28652	2976
18.29965	2969
18.31278	2963
18.32591	2817
18.33904	2876
18.35217	2895
18.3653	2891
18.37843	2959
18.39156	2927
18.40469	2816
18.41782	2892
18.43095	2876
18.44408	2756
18.45721	2808
18.47034	2797
18.48347	2790
18.4966	2745
18.50973	2715
18.52286	2699
18.53599	2649
18.54912	2687
18.56225	2691
18.57538	2542
18.58851	2726
18.60164	2639
18.61477	2583
18.6279	2636
18.64103	2618
18.65416	2685
18.66729	2615
18.68042	2664
18.69355	2675
18.70668	2665
18.71981	2684
18.73295	2592
18.74608	2723
18.75921	2718
18.77234	2736
18.78547	2707
18.7986	2724
18.81173	2858
18.82486	2768
18.83799	2813
18.85112	2772
18.86425	2957
18.87738	2898
18.89051	2841
18.90364	2969
18.91677	2957
18.9299	2959
18.94303	2954
18.95616	3105
18.96929	3083
18.98242	3089
18.99555	3095
19.00868	3179
19.02181	3098
19.03494	3121
19.04807	3209
19.0612	3175
19.07433	3273
19.08746	3398
19.10059	3361
19.11372	3289
19.12685	3369
19.13998	3410
19.15311	3480
19.16624	3559
19.17937	3572
19.19251	3571
19.20564	3550
19.21877	3523
19.2319	3557
19.24503	3451
19.25816	3419
19.27129	3508
19.28442	3459
19.29755	3351
19.31068	3203
19.32381	3154
19.33694	3254
19.35007	3090
19.3632	3077
19.37633	3077
19.38946	2906
19.40259	2973
19.41572	2869
19.42885	2893
19.44198	2856
19.45511	2766
19.46824	2852
19.48137	2840
19.4945	2757
19.50763	2737
19.52076	2770
19.53389	2800
19.54702	2733
19.56015	2675
19.57328	2745
19.58641	2664
19.59954	2681
19.61267	2665
19.6258	2647
19.63893	2565
19.65207	2574
19.6652	2644
19.67833	2619
19.69146	2591
19.70459	2564
19.71772	2571
19.73085	2633
19.74398	2639
19.75711	2579
19.77024	2601
19.78337	2625
19.7965	2557
19.80963	2562
19.82276	2685
19.83589	2549
19.84902	2557
19.86215	2472
19.87528	2594
19.88841	2554
19.90154	2524
19.91467	2516
19.9278	2542
19.94093	2625
19.95406	2520
19.96719	2539
19.98032	2576
19.99345	2696
