Hexane	
2 q(deg.)	Intenisty (a. u.)
19.87528	3000
19.88841	2898
19.90154	2909
19.91467	2878
19.9278	2876
19.94093	2850
19.95406	2914
19.96719	2926
19.98032	2850
19.99345	2894
