MUV-21 simulated	
2 q(deg.)	Intenisty (a. u.)
25.92	51.9447
25.94	53.9846
25.96	57.248
25.98	55.3
26	50.9574
26.02	49.2276
26.04	48.5278
26.06	46.1008
26.08	44.231
26.1	46.5488
26.12	54.5222
26.14	68.1582
26.16	89.9104
26.18	122.903
26.2	158.211
26.22	166.295
26.24	137.315
26.26	98.1869
26.28	66.6904
26.3	45.972
26.32	33.7597
26.34	27.1903
26.36	24.3645
26.38	24.4363
26.4	26.7945
26.42	29.7009
26.44	29.5115
26.46	25.2546
26.48	20.2016
26.5	16.6088
26.52	14.829
26.54	14.7596
26.56	16.4493
26.58	20.1345
26.6	25.731
26.62	31.3394
26.64	33.086
26.66	30.9229
26.68	29.6045
26.7	32.1132
26.72	38.2187
26.74	44.3637
26.76	44.0975
26.78	36.7912
26.8	29.3469
26.82	25.6585
26.84	26.2507
26.86	30.1617
26.88	34.2596
26.9	33.7449
26.92	28.109
26.94	21.5696
26.96	16.3288
26.98	12.902
27	11.0781
27.02	10.4769
27.04	10.8401
27.06	12.0055
27.08	14.0081
27.1	17.0702
27.12	20.4184
27.14	21.9911
27.16	22.2216
27.18	24.1669
27.2	29.1006
27.22	35.3051
27.24	37.5479
27.26	33.3648
27.28	27.3798
27.3	23.6636
27.32	22.4881
27.34	22.0741
27.36	21.8911
27.38	22.9155
27.4	23.7139
27.42	21.6556
27.44	17.9194
27.46	15.0712
27.48	13.8246
27.5	14.1664
27.52	16.2083
27.54	20.323
27.56	27.2253
27.58	38.0919
27.6	53.3344
27.62	67.5774
27.64	68.2599
27.66	55.0201
27.68	40.6573
27.7	31.2149
27.72	27.5668
27.74	29.1559
27.76	35.7423
27.78	46.3381
27.8	57.3036
27.82	61.8488
27.84	56.565
27.86	46.3044
27.88	35.9058
27.9	26.6605
27.92	19.5209
27.94	14.8719
27.96	12.14
27.98	10.7204
28	10.4442
28.02	11.3203
28.04	13.5438
28.06	16.8649
28.08	19.4478
28.1	18.5893
28.12	15.6174
28.14	13.3365
28.16	12.3517
28.18	11.4958
28.2	9.68273
28.22	7.59474
28.24	5.95858
28.26	4.9128
28.28	4.28465
28.3	3.93486
28.32	3.77152
28.34	3.74848
28.36	3.86565
28.38	4.13414
28.4	4.66555
28.42	5.5528
28.44	6.94401
28.46	9.03268
28.48	11.7334
28.5	13.8053
28.52	13.3779
28.54	11.2343
28.56	9.3719
28.58	8.39367
28.6	8.3367
28.62	9.03221
28.64	10.6086
28.66	13.5239
28.68	18.6362
28.7	27.0544
28.72	39.3733
28.74	52.8837
28.76	59.5805
28.78	55.8864
28.8	45.2732
28.82	33.0404
28.84	23.5085
28.86	17.528
28.88	14.4289
28.9	13.3779
28.92	13.4496
28.94	13.5987
28.96	13.499
28.98	13.6152
29	13.4928
29.02	12.8521
29.04	12.574
29.06	13.4708
29.08	15.9195
29.1	20.0936
29.12	25.3487
29.14	30.0487
29.16	34.6045
29.18	42.31
29.2	54.196
29.22	65.5651
29.24	66.2976
29.26	57.7109
29.28	50.9009
29.3	50.048
29.32	51.6949
29.34	48.3142
29.36	39.9715
29.38	33.2363
29.4	31.3235
29.42	34.7723
29.44	42.8063
29.46	51.0272
29.48	50.7657
29.5	42.2941
29.52	33.9827
29.54	28.62
29.56	23.9999
29.58	19.0197
29.6	15.0191
29.62	12.6635
29.64	11.8408
29.66	12.2178
29.68	13.0259
29.7	13.0506
29.72	11.9973
29.74	10.7177
29.76	9.78527
29.78	9.35291
29.8	9.4583
29.82	9.77616
