EtOH	
2 q(deg.)	Intenisty (a. u.)
12.4698	3322
12.48293	3442
12.49606	3279
12.50919	3199
12.52232	3305
12.53545	3276
12.54858	3308
12.56171	3190
12.57484	3305
12.58797	3188
12.6011	3316
12.61423	3241
12.62736	3292
12.64049	3260
12.65362	3282
12.66675	3252
12.67988	3184
12.69302	3363
12.70615	3312
12.71928	3270
12.73241	3214
12.74554	3262
12.75867	3231
12.7718	3246
12.78493	3179
12.79806	3283
12.81119	3306
12.82432	3195
12.83745	3163
12.85058	3150
12.86371	3286
12.87684	3224
12.88997	3281
12.9031	3325
12.91623	3355
12.92936	3206
12.94249	3225
12.95562	3273
12.96875	3228
12.98188	3251
12.99501	3257
13.00814	3230
13.02127	3235
13.0344	3314
13.04753	3267
13.06066	3238
13.07379	3239
13.08692	3256
13.10005	3309
13.11318	3196
13.12631	3216
13.13944	3275
13.15258	3265
13.16571	3243
13.17884	3204
13.19197	3345
13.2051	3233
13.21823	3259
13.23136	3199
13.24449	3283
13.25762	3291
13.27075	3342
13.28388	3295
13.29701	3251
13.31014	3419
13.32327	3480
13.3364	3417
13.34953	3399
13.36266	3469
13.37579	3433
13.38892	3405
13.40205	3475
13.41518	3450
13.42831	3429
13.44144	3389
13.45457	3368
13.4677	3444
13.48083	3349
13.49396	3272
13.50709	3296
13.52022	3254
13.53335	3254
13.54648	3237
13.55961	3192
13.57274	3201
13.58587	3138
13.599	3268
13.61214	3225
13.62527	3233
13.6384	3246
13.65153	3172
13.66466	3259
13.67779	3233
13.69092	3247
13.70405	3392
13.71718	3397
13.73031	3318
13.74344	3425
13.75657	3411
13.7697	3423
13.78283	3436
13.79596	3509
13.80909	3478
13.82222	3671
13.83535	3499
13.84848	3417
13.86161	3356
13.87474	3264
13.88787	3381
13.901	3198
13.91413	3275
13.92726	3105
13.94039	3216
13.95352	3099
13.96665	3099
13.97978	3192
13.99291	3046
14.00604	3087
14.01917	3245
14.0323	3097
14.04543	3077
14.05856	3075
14.07169	3133
14.08483	3152
14.09796	3175
14.11109	3049
14.12422	3109
14.13735	3098
14.15048	3093
14.16361	3142
14.17674	3075
14.18987	2973
14.203	3170
14.21613	2973
14.22926	3126
14.24239	3069
14.25552	3178
14.26865	3042
14.28178	3058
14.29491	3070
14.30804	3186
14.32117	3116
14.3343	3125
14.34743	3172
14.36056	3181
14.37369	3064
14.38682	3187
14.39995	3177
14.41308	3120
14.42621	3094
14.43934	3187
14.45247	3244
14.4656	3145
14.47873	3166
14.49186	3280
14.50499	3216
14.51812	3260
14.53125	3288
14.54439	3268
14.55752	3231
14.57065	3235
14.58378	3160
14.59691	3193
14.61004	3220
14.62317	3076
14.6363	3173
14.64943	3097
14.66256	3143
14.67569	3139
14.68882	3003
14.70195	3118
14.71508	3233
14.72821	3039
14.74134	3049
14.75447	3043
14.7676	3009
14.78073	3039
14.79386	3138
14.80699	3105
14.82012	2972
14.83325	3045
14.84638	3086
14.85951	3023
14.87264	3126
14.88577	3017
14.8989	3014
14.91203	3104
14.92516	2928
14.93829	3052
14.95142	2981
14.96455	2908
14.97768	3077
14.99081	3075
15.00394	3022
15.01708	3009
15.03021	3088
15.04334	2935
15.05647	3028
15.0696	3019
15.08273	3022
15.09586	2933
15.10899	3077
15.12212	2965
15.13525	2939
15.14838	2938
15.16151	2939
15.17464	2935
15.18777	2887
15.2009	2928
15.21403	2974
15.22716	2929
15.24029	3033
15.25342	2986
15.26655	2971
15.27968	2922
15.29281	2851
